,PAYMENT_RATE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_BIRTH,AMT_ANNUITY,APPROVED_CNT_PAYMENT_MEAN,INSTAL_DPD_MEAN,DAYS_EMPLOYED,INSTAL_AMT_PAYMENT_SUM,PREV_CNT_PAYMENT_MEAN,AMT_GOODS_PRICE,DAYS_ID_PUBLISH,ACTIVE_DAYS_CREDIT_MAX,AMT_CREDIT,CODE_GENDER,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,INSTAL_PAYMENT_DIFF_MEAN,POS_MONTHS_BALANCE_SIZE,PREV_APP_CREDIT_PERC_MIN,target
0,0.0292394612171487,,0.6718741475658911,,-13856,40383.0,24.0,0.1,-2714.0,335441.97,24.0,1206000.0,-4391,,1381113.0,0,,202.917375,41.0,1.0,0.0
1,0.0542866666666666,0.3134146062443629,0.0622326374217931,0.5352762504724826,-7724,36643.5,,,-449.0,,,675000.0,-388,-693.0,675000.0,1,,,,,0.0
2,0.05454,,0.3430718834100703,0.4830501881366946,-10343,24543.0,12.0,5.875,-161.0,374263.56,26.4,450000.0,-78,-71.0,450000.0,0,,2994.103125,24.0,0.8256274768824307,0.0
3,0.0360186464088397,,0.6376087126940505,0.2678689358444539,-23119,46939.5,24.0,0.4497607655502392,,2704849.47,43.875,1125000.0,-4158,-202.0,1303200.0,0,0.6979166666666666,1075.5538277511962,64.0,0.8732105272312964,0.0
4,0.0331889624897111,0.3127587422785302,0.6646706750314849,0.6940926425266661,-11969,30483.0,7.166666666666667,1.1395348837209305,-2145.0,1271815.515,7.166666666666667,697500.0,-4474,,918468.0,0,,853.4532558139534,46.0,0.96682135808396,0.0
5,0.0324075042352498,,0.0930644149884122,0.4294236843421945,-10942,27891.0,12.0,0.0384615384615384,-1030.0,169382.25,12.0,616500.0,-1290,,860634.0,1,,0.0,27.0,0.7761115495922126,1.0
6,0.0680042135175522,,0.3386305549153376,,-10107,24984.0,9.0,0.0,-2666.0,38329.605,9.0,279000.0,-288,-32.0,367389.0,1,,0.0,15.0,0.9266409266409268,1.0
7,0.0489994225023225,,0.4820071690961568,0.2608559142068693,-18833,17563.5,6.5,1.4574468085106382,,492326.955,7.6,252000.0,-2387,-104.0,358443.0,1,0.75,1097.891329787234,27.0,0.0,0.0
8,0.0560066526090701,,0.1577753849314861,0.4258928980051529,-17662,42430.5,13.0,0.0555555555555555,-1696.0,358379.64,13.0,702000.0,-1196,-935.0,757597.5,1,,0.0,22.0,0.0,1.0
9,0.0379788639365918,,0.5856941439135629,,-12612,17595.0,20.5,0.0666666666666666,-1035.0,1324149.93,20.5,382500.0,-900,,463284.0,1,,-3036.1305,32.0,0.0,0.0
10,0.0796892980437284,,0.6137797935602317,0.1974745115685422,-19153,14958.0,9.6,1.9411764705882355,-1246.0,410409.81,12.0,148500.0,-2695,-268.0,187704.0,1,1.818181818181818,1512.75375,40.0,0.7911392405063291,1.0
11,0.0509312453669384,0.748085810775452,0.7795293944108115,0.5316861425197883,-14524,49468.5,8.0,0.5,-1257.0,164390.58000000002,8.0,900000.0,-4071,-561.0,971280.0,0,,2584.940625,8.0,1.0380310312570562,0.0
12,0.0275828571428571,0.5610168832065205,0.5807029103245754,0.5989262182569273,-15926,43443.0,4.0,0.0,-3327.0,33315.57,4.0,1575000.0,-4174,-51.0,1575000.0,1,,0.0,6.0,2.6930891180544867,0.0
13,0.0383076307446055,0.3107426351591336,0.6224359403505382,0.2314393514998941,-8928,22401.0,,,-528.0,,,472500.0,-1596,-129.0,584766.0,0,,,,,0.0
14,0.03828,,0.5815226555911929,0.6706517530862718,-20668,8613.0,60.0,0.0,,80028.855,60.0,225000.0,-3607,,225000.0,1,,0.0,11.0,1.0,0.0
15,0.0380515286175663,0.7378419711957863,0.6100512399274204,0.6848276586890367,-14418,14103.0,18.0,0.0,-2863.0,879550.335,18.0,306000.0,-4877,-466.0,370629.0,1,,-8440.1409375,32.0,0.8959285703365083,0.0
16,0.0679569519180697,0.1573238800734576,0.7046020065610962,0.2594676548211199,-14522,28188.0,14.0,0.5882352941176471,-348.0,485229.375,17.0,315000.0,-4655,-473.0,414792.0,0,2.5,548.4247058823529,25.0,0.6660272804774083,1.0
17,0.0423644037196858,,0.3271175779381412,0.5262949398096192,-14069,32206.5,9.5,0.1166666666666666,-7513.0,595368.855,8.0,679500.0,-4050,-394.0,760225.5,1,2.857142857142857,0.0,54.0,0.0,0.0
18,0.0793,,0.451201661568081,0.2263473957097693,-19460,35685.0,18.0,0.3559322033898305,-665.0,2139361.515,21.33333333333333,450000.0,-3022,-170.0,450000.0,1,0.6111111111111112,-2324.7747457627115,30.0,0.8792909397861565,0.0
19,0.04835,0.163812929410056,0.556268357823396,0.3280631605201915,-13409,26109.0,6.0,0.0,-1349.0,70146.81,6.0,540000.0,-1129,-143.0,540000.0,1,,0.0,8.0,0.9498164014687882,0.0
20,0.0441868181197181,,0.5050859210185249,0.6092756673894402,-12607,40752.0,27.428571428571427,0.0792079207920792,-3649.0,1086119.19,28.5,810000.0,-4309,-430.0,922266.0,0,0.050632911392405,125.37356435643564,24.0,0.0,0.0
21,0.0782113259668508,0.7187005220462512,0.6921198154132794,0.3825018041447388,-13635,12231.0,18.0,7.5,-349.0,426502.53,18.0,135000.0,-4128,-634.0,156384.0,1,,2521.5565909090906,17.0,0.7765783955890347,0.0
